model,model_label,model_family,result_level,class_output,modeling_row_id,semantic_group_id,feature_group,absolute_shap_mass,share_of_total_abs_shap,mean_share,median_share,std_share
random_forest,Random Forest,bagging_ensemble,global_class_output,high,,,queue,0.07966990023851395,0.14082392172922414,0.0973657061048954,0.08393485733698303,0.05936870322004064
xgboost,XGBoost,gradient_boosting,global_class_output,low,,,text,1.6861180067062378,0.7360743038244768,0.7885093096755855,0.8107600749281301,0.10909968318960903
xgboost,XGBoost,gradient_boosting,global_class_output,low,,,type,0.008682986721396446,0.0037905552165677023,0.005763642055546644,0.0022971221481013983,0.006422790647726384
xgboost,XGBoost,gradient_boosting,global_class_output,low,,,language,0.0001336776331299916,5.835693015062228e-05,5.226438534686423e-05,0.0,0.0007370166349818867
xgboost,XGBoost,gradient_boosting,global_class_output,low,,,queue,0.5957553386688232,0.2600768121900321,0.20567478920757995,0.18742794901908047,0.10482829545955098
xgboost,XGBoost,gradient_boosting,global_class_output,medium,,,text,1.0606822967529297,0.8669881542009858,0.7885093096755855,0.8107600749281301,0.10909968318960903
xgboost,XGBoost,gradient_boosting,global_class_output,medium,,,type,0.002160330768674612,0.0017658267620102293,0.005763642055546644,0.0022971221481013983,0.006422790647726384
xgboost,XGBoost,gradient_boosting,global_class_output,medium,,,language,0.0,0.0,5.226438534686423e-05,0.0,0.0007370166349818867
xgboost,XGBoost,gradient_boosting,global_class_output,medium,,,queue,0.16056761145591736,0.13124591360371676,0.20567478920757995,0.18742794901908047,0.10482829545955098
xgboost,XGBoost,gradient_boosting,global_class_output,high,,,text,1.4407572746276855,0.6921606937626467,0.7885093096755855,0.8107600749281301,0.10909968318960903
xgboost,XGBoost,gradient_boosting,global_class_output,high,,,type,0.025171732529997826,0.012092865438193552,0.005763642055546644,0.0022971221481013983,0.006422790647726384
xgboost,XGBoost,gradient_boosting,global_class_output,high,,,language,0.00011578835255932063,5.5626404147640896e-05,5.226438534686423e-05,0.0,0.0007370166349818867
xgboost,XGBoost,gradient_boosting,global_class_output,high,,,queue,0.6154909729957581,0.29569079148566524,0.20567478920757995,0.18742794901908047,0.10482829545955098
lightgbm,LightGBM,gradient_boosting,global_class_output,low,,,text,3.213963747024536,0.8164247544625296,0.8450442820242565,0.8661249670534281,0.08634115260916016
lightgbm,LightGBM,gradient_boosting,global_class_output,low,,,type,0.01680523343384266,0.004268936945107907,0.01004731588359338,0.002782764261623346,0.013194783770864678
lightgbm,LightGBM,gradient_boosting,global_class_output,low,,,language,0.0003605110396165401,9.157854915832629e-05,4.398101548295091e-05,9.700318012141608e-06,0.00017470237559243313
lightgbm,LightGBM,gradient_boosting,global_class_output,low,,,queue,0.7055027484893799,0.17921481184762242,0.14486441829871194,0.12865623944755167,0.07786658522755226
lightgbm,LightGBM,gradient_boosting,global_class_output,medium,,,text,2.2827422618865967,0.9120507101115016,0.8450442820242565,0.8661249670534281,0.08634115260916016
lightgbm,LightGBM,gradient_boosting,global_class_output,medium,,,type,0.0016286122845485806,0.0006506985109178476,0.01004731588359338,0.002782764261623346,0.013194783770864678
lightgbm,LightGBM,gradient_boosting,global_class_output,medium,,,language,9.409172344021499e-05,3.759356656775575e-05,4.398101548295091e-05,9.700318012141608e-06,0.00017470237559243313
lightgbm,LightGBM,gradient_boosting,global_class_output,medium,,,queue,0.21840262413024902,0.08726095440296565,0.14486441829871194,0.12865623944755167,0.07786658522755226
lightgbm,LightGBM,gradient_boosting,global_class_output,high,,,text,2.777801036834717,0.7630118364020083,0.8450442820242565,0.8661249670534281,0.08634115260916016
lightgbm,LightGBM,gradient_boosting,global_class_output,high,,,type,0.09530242532491684,0.026177857087846146,0.01004731588359338,0.002782764261623346,0.013194783770864678
lightgbm,LightGBM,gradient_boosting,global_class_output,high,,,language,7.347004429902881e-05,2.0180895851711945e-05,4.398101548295091e-05,9.700318012141608e-06,0.00017470237559243313
lightgbm,LightGBM,gradient_boosting,global_class_output,high,,,queue,0.7673969864845276,0.21079010920599878,0.14486441829871194,0.12865623944755167,0.07786658522755226
