semantic_group_id,records,pair_count,pair_similarity_min,pair_similarity_p05,pair_similarity_median,pair_similarity_mean,share_pairs_at_or_ab_threshold
7768a6e9b993d2b4914a9bf01cc93baecd5f05bd,2,1,0.9662948250770569,0.9662948250770569,0.9662948250770569,0.9662948250770569,1.0
eb25235b1f19336c9c7a0c91a4dbbad8dd1d71d6,2,1,0.9507488012313843,0.9507488012313843,0.9507488012313843,0.9507488012313843,1.0
376ac691447b719fb88874161cf8b013ed443398,2,1,0.9621202945709229,0.9621202945709229,0.9621202945709229,0.9621202945709229,1.0
3c04fe7bab0dc573b91ccf7bddfb0ea3872ef3aa,2,1,0.9501791000366211,0.9501791000366211,0.9501791000366211,0.9501791000366211,1.0
3f0fa4f267d7b7c2fe1565e92278d2d0a578c8c2,2,1,0.986952006816864,0.986952006816864,0.986952006816864,0.986952006816864,1.0
94cd4018331ce595b8b3cf71f7e63d007b14c4ff,2,1,0.988721489906311,0.988721489906311,0.988721489906311,0.988721489906311,1.0
2f2257d323a5eb592a393300fbb271f7216091f7,2,1,0.9646470546722412,0.9646470546722412,0.9646470546722412,0.9646470546722412,1.0
1d0ecaa168031286d54c4e3665614d07c9a328ad,2,1,0.9670953750610352,0.9670953750610352,0.9670953750610352,0.9670953750610352,1.0
aed726468f5b09e58f49a3594d68dcd76f374d43,2,1,0.9518523216247559,0.9518523216247559,0.9518523216247559,0.9518523216247559,1.0
dd2547c176064611e278aeb40f9c5f5b46b1e0b7,2,1,0.9591519832611084,0.9591519832611084,0.9591519832611084,0.9591519832611084,1.0
54b6d3d40772e8daf24df1475f02b91ddceaf2f9,2,1,0.9683858156204224,0.9683858156204224,0.9683858156204224,0.9683858156204224,1.0
d75bc96c4f62113cbb0018121031dbab9502cdd9,2,1,0.9927113056182861,0.9927113056182861,0.9927113056182861,0.9927113056182861,1.0
4b0de79813ce272641e07c9a64617670607de617,2,1,0.9827516078948975,0.9827516078948975,0.9827516078948975,0.9827516078948975,1.0
43f3296ccedf145488e8efbd9d9546367aa96ffa,2,1,0.9588779211044312,0.9588779211044312,0.9588779211044312,0.9588779211044312,1.0
5eb1ac771f3cf58752ef80af5e2d954bf81b5e2f,2,1,0.9501848220825195,0.9501848220825195,0.9501848220825195,0.9501848220825195,1.0
4906b3bdbb103d49ca5d6144645012f17940b973,2,1,0.9769293069839478,0.9769293069839478,0.9769293069839478,0.9769293069839478,1.0
ea7d13739ad6f6721153e200434a19c1421d5c39,2,1,0.9773420095443726,0.9773420095443726,0.9773420095443726,0.9773420095443726,1.0
c0273ca98a5e7885a94a7f2f016287bded4f9284,3,3,0.9543901681900024,0.9549862742424011,0.9603513479232788,0.9700385928153992,1.0
61309273c1d5586331575113dffa997ce83bb602,2,1,0.9816175699234009,0.9816175699234009,0.9816175699234009,0.9816175699234009,1.0
f51d7647dea81155f4e36587259426d4ec2f73cd,2,1,0.9613456726074219,0.9613456726074219,0.9613456726074219,0.9613456726074219,1.0
b6f7afd85ab041a72c38717bc4a1b0e301908211,2,1,0.9939863085746765,0.9939863085746765,0.9939863085746765,0.9939863085746765,1.0
c34e243b0082a80a5b981a0076b97ebf12f2d396,2,1,0.9543682336807251,0.9543682336807251,0.9543682336807251,0.9543682336807251,1.0
69176b50f1727d36b1acc881c56c5a3aed34f28a,2,1,0.9687994122505188,0.9687994122505188,0.9687994122505188,0.9687994122505188,1.0
7d560e703cf4230fa631190497112e307d1e3a79,2,1,0.9629454016685486,0.9629454016685486,0.9629454016685486,0.9629454016685486,1.0
3fb624a87c51ba390e9c1c710a4e2b36315b01ef,2,1,0.9880567789077759,0.9880567789077759,0.9880567789077759,0.9880567789077759,1.0
284a85cbbc74236f90460f27e16926e96517325f,2,1,0.9700500965118408,0.9700500965118408,0.9700500965118408,0.9700500965118408,1.0
0c2079bf65ab9f400fcfd1ce48c76111ea2cde06,3,3,0.9549296498298645,0.9550740718841553,0.9563740491867065,0.9643086791038513,1.0
a5cdab9ce47ecc962c478746d94d8adde1f1488c,2,1,0.9658612012863159,0.9658612012863159,0.9658612012863159,0.9658612012863159,1.0
40b435ed697e1adab0f87896e4a8fa403495f9d9,2,1,0.9665253758430481,0.9665253758430481,0.9665253758430481,0.9665253758430481,1.0
6cc3efd0593b13c27feba010abfbf804676bee2e,2,1,0.9567672610282898,0.9567672610282898,0.9567672610282898,0.9567672610282898,1.0
27809c9154405d87e8f6ef910b1e1291a3a902b8,2,1,0.9782922267913818,0.9782922267913818,0.9782922267913818,0.9782922267913818,1.0
2789b95ca47818e88e263d69fd76d8564b8bda79,2,1,0.9686439037322998,0.9686439037322998,0.9686439037322998,0.9686439037322998,1.0
6c57aa6b9112ce42034b1ac1d93478afa1a0884f,2,1,0.9533180594444275,0.9533180594444275,0.9533180594444275,0.9533180594444275,1.0
3321f3ac9f85dd9e5ac0f65aa192638d6be3a676,2,1,0.986405611038208,0.986405611038208,0.986405611038208,0.986405611038208,1.0
c9d8bc239fb3414a2a1649ca3aea523c4e7652ac,2,1,0.9593019485473633,0.9593019485473633,0.9593019485473633,0.9593019485473633,1.0
d5cd3ad6107f275ed5385191e3c20c01cc905273,2,1,0.9753674268722534,0.9753674268722534,0.9753674268722534,0.9753674268722534,1.0
e5444dc6cd534ef8fd707a3d4053a8cd8d5513c2,2,1,0.9761594533920288,0.9761594533920288,0.9761594533920288,0.9761594533920288,1.0
77cc9f4e0a6bc4f1c36a6f7e3b41679cf295f770,2,1,0.9776544570922852,0.9776544570922852,0.9776544570922852,0.9776544570922852,1.0
84a802cdfbb434d13ef54eb8791bcf6d54630169,2,1,0.9682392477989197,0.9682392477989197,0.9682392477989197,0.9682392477989197,1.0
6b81a84d9608816b64d3d8b4b710a30c7733146c,2,1,0.968026340007782,0.968026340007782,0.968026340007782,0.968026340007782,1.0
302e66b60b568eab89b5614b7ba69c36b8da91d5,2,1,0.9754246473312378,0.9754246473312378,0.9754246473312378,0.9754246473312378,1.0
63c863d8b89e15386657e96be4280e18d9b01aa6,2,1,0.9566903710365295,0.9566903710365295,0.9566903710365295,0.9566903710365295,1.0
0cd37604e47385d29eb6c3b39f4e142a4ea39a0a,2,1,0.9650573134422302,0.9650573134422302,0.9650573134422302,0.9650573134422302,1.0
7420cf7df8a32c469cd6b3d6004b0274d60621f3,2,1,0.9705992937088013,0.9705992937088013,0.9705992937088013,0.9705992937088013,1.0
31a57ce6faa24606a8c221cfa1191729e0e36e22,2,1,0.9899097681045532,0.9899097681045532,0.9899097681045532,0.9899097681045532,1.0
d3ec2e8dc8b4cea2a1de0a3b3edd6427e461cac1,2,1,0.9584094285964966,0.9584094285964966,0.9584094285964966,0.9584094285964966,1.0
57209ea128d52265ffa20bc0c8560a0d7de259d9,2,1,0.9873206615447998,0.9873206615447998,0.9873206615447998,0.9873206615447998,1.0
0fe9ac82d9eaf6dbdc3b9141a59016703d7b6fef,2,1,0.971757709980011,0.971757709980011,0.971757709980011,0.971757709980011,1.0
568ccb53a8a49f65dfda70aaf6aac59cd1a8f599,2,1,0.9924376010894775,0.9924376010894775,0.9924376010894775,0.9924376010894775,1.0
f41c3b7db8e75297590dc4c1eac233ce2dc0dd06,2,1,0.970453679561615,0.970453679561615,0.970453679561615,0.970453679561615,1.0
0f2a153fccab10446eaaad143d689532c73f8a89,2,1,0.9654746055603027,0.9654746055603027,0.9654746055603027,0.9654746055603027,1.0
069a2aaf92c41ba1601829fe1b085a41974323a2,2,1,0.9506094455718994,0.9506094455718994,0.9506094455718994,0.9506094455718994,1.0
dc58edd44b2e771f11954bb44d4ba5c19fc3c2f1,2,1,0.9842134714126587,0.9842134714126587,0.9842134714126587,0.9842134714126587,1.0
781ad0ceff516f9e7f8e14e9e56adecb5fc3c11a,2,1,0.9667638540267944,0.9667638540267944,0.9667638540267944,0.9667638540267944,1.0
d52aef27b929e9d0c0c58afd6ded70d7b8007281,2,1,0.9850136041641235,0.9850136041641235,0.9850136041641235,0.9850136041641235,1.0
6cf7c6fc75909a493144e33206571ee6ae6ae6c9,2,1,0.9624935388565063,0.9624935388565063,0.9624935388565063,0.9624935388565063,1.0
221f22e0dffeddaf3a97755f4ca66702f16f72ce,2,1,0.9523620009422302,0.9523620009422302,0.9523620009422302,0.9523620009422302,1.0
6d8ae4227cb2e0fdd1405d37610237d741b2a7ac,2,1,0.951552152633667,0.951552152633667,0.951552152633667,0.951552152633667,1.0
28cbd259952c3bb606db1cb0180e5c75aa226c51,2,1,0.9810003042221069,0.9810003042221069,0.9810003042221069,0.9810003042221069,1.0
80d43778c1e78b481a3aac7d242bd11c720bcf94,2,1,0.9691925048828125,0.9691925048828125,0.9691925048828125,0.9691925048828125,1.0
2e8d65764b909279c5b4f6b8175b66ac903e6c4a,2,1,0.9730077981948853,0.9730077981948853,0.9730077981948853,0.9730077981948853,1.0
1d6c13a1384f7fb3c91e3b675952299fe3f8adef,2,1,0.985215425491333,0.985215425491333,0.985215425491333,0.985215425491333,1.0
885a6b5481aeaba7e36067749441d786d2c21ba2,2,1,0.9661336541175842,0.9661336541175842,0.9661336541175842,0.9661336541175842,1.0
9a24ceb9c85437178d175c325cf433ca5ea0e70c,2,1,0.9618903398513794,0.9618903398513794,0.9618903398513794,0.9618903398513794,1.0
2aa6d964da6e08f14a52d2601c1f72d557cbbdca,2,1,0.9636541604995728,0.9636541604995728,0.9636541604995728,0.9636541604995728,1.0
7f57a49381df02bb72400d04afe22f12b1faeaf0,2,1,0.9583372473716736,0.9583372473716736,0.9583372473716736,0.9583372473716736,1.0
6304988be072745c80ac4a60c97772a5802bb3cc,2,1,0.9792086482048035,0.9792086482048035,0.9792086482048035,0.9792086482048035,1.0
8686985620123b832259530226085bc8588bfae1,2,1,0.9710249304771423,0.9710249304771423,0.9710249304771423,0.9710249304771423,1.0
fd1121352d38868ad52a7e0ac5173057466e580d,2,1,0.9597810506820679,0.9597810506820679,0.9597810506820679,0.9597810506820679,1.0
0a2d1f14c8640f5c19f0d6c390b1b2dd0f5c34cb,2,1,0.9596059322357178,0.9596059322357178,0.9596059322357178,0.9596059322357178,1.0
edb572bf1525b67b42dbba71305bce31424298fa,2,1,0.9732595682144165,0.9732595682144165,0.9732595682144165,0.9732595682144165,1.0
2f2be6cfc7d9a0deac36c524a2cba63e1076f68b,2,1,0.9808043837547302,0.9808043837547302,0.9808043837547302,0.9808043837547302,1.0
0142f440c1d72ab16d7ed6e8adf66a24d44de83c,2,1,0.9843041300773621,0.9843041300773621,0.9843041300773621,0.9843041300773621,1.0
bfd92921ea6ac853d0c0d6ae45e5fe91395f20cd,2,1,0.9651537537574768,0.9651537537574768,0.9651537537574768,0.9651537537574768,1.0
bf01f64b181d467a35f9409eb19789777ba97400,2,1,0.9737964868545532,0.9737964868545532,0.9737964868545532,0.9737964868545532,1.0
f6926f3a841e72c1d07943047642a892d2ac2578,2,1,0.9521456956863403,0.9521456956863403,0.9521456956863403,0.9521456956863403,1.0
7546c570a4259797b751b31d0a34228dea86f47e,2,1,0.9815953373908997,0.9815953373908997,0.9815953373908997,0.9815953373908997,1.0
efbc7fa14db5b80067aab20efb8956b1ef3cede1,2,1,0.9771208763122559,0.9771208763122559,0.9771208763122559,0.9771208763122559,1.0
dbb097737dd70984d029415386d0eac8b1fdba61,2,1,0.9525426626205444,0.9525426626205444,0.9525426626205444,0.9525426626205444,1.0
08d5ea838b71de3ce43e88586aa197e8b3fed64f,2,1,0.9808413982391357,0.9808413982391357,0.9808413982391357,0.9808413982391357,1.0
0e840d43f08bee6aa2fcb2e9b9050e1ee916c0eb,2,1,0.983031690120697,0.983031690120697,0.983031690120697,0.983031690120697,1.0
21e65b23849f6a10800323fc2e41b7a0bfa145e2,2,1,0.964414656162262,0.964414656162262,0.964414656162262,0.964414656162262,1.0
c9e39731d5ed4bbfbaf0e1b470538f92ba0b2c72,2,1,0.9789945483207703,0.9789945483207703,0.9789945483207703,0.9789945483207703,1.0
98d7ab258aae6d9ef64703250bc8c29d5039b932,2,1,0.9762300252914429,0.9762300252914429,0.9762300252914429,0.9762300252914429,1.0
0e078156265cb68728877a3ce45fc36073db7b77,2,1,0.9839772582054138,0.9839772582054138,0.9839772582054138,0.9839772582054138,1.0
dd5ed807fd812f82ee4dd933fec96d0bf58efa92,2,1,0.9686521291732788,0.9686521291732788,0.9686521291732788,0.9686521291732788,1.0
efecf9d696bd5fa52ddefb9f2f1bd4c3e5ca1c9f,2,1,0.9719732403755188,0.9719732403755188,0.9719732403755188,0.9719732403755188,1.0
e7825466654ef7c84b5a39fc021c27cbfacd13f3,2,1,0.9879573583602905,0.9879573583602905,0.9879573583602905,0.9879573583602905,1.0
93971d3cb080c03b67903c66c559c833c53fce88,2,1,0.9800240397453308,0.9800240397453308,0.9800240397453308,0.9800240397453308,1.0
70e8c0c2b32b9fd6fba2cfc9a34c804d81eca30b,2,1,0.9743680953979492,0.9743680953979492,0.9743680953979492,0.9743680953979492,1.0
c5819437294e1b88870a9fc24268308b7432be23,2,1,0.9817805886268616,0.9817805886268616,0.9817805886268616,0.9817805886268616,1.0
e41e32f5bacc4a3dbc47f6ef1ad2b182390863b8,2,1,0.9630389213562012,0.9630389213562012,0.9630389213562012,0.9630389213562012,1.0
80e928f2266c30583accbefa94f90327bf14c632,2,1,0.9647811055183411,0.9647811055183411,0.9647811055183411,0.9647811055183411,1.0
c7ba260306dbf4cf7086f40214385301b3efff34,2,1,0.9663357138633728,0.9663357138633728,0.9663357138633728,0.9663357138633728,1.0
978132eb556187399ec722232fe01e4217ad2af3,2,1,0.9911704063415527,0.9911704063415527,0.9911704063415527,0.9911704063415527,1.0
