model,rank_within_model,candidate_index,mean_train_macro_f1,mean_macro_f1,std_macro_f1,mean_weighted_f1,mean_accuracy,mean_fit_seconds,params,train_validation_gap
random_forest,1,11,0.9869412874862032,0.46382679423791934,0.004694240493579704,0.4958252254354477,0.5090186230527578,84.84350681304932,"{""classifier__class_weight"": ""balanced_subsample"", ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 2}",0.5231144932482839
random_forest,2,9,0.9041031657232186,0.45338637330923987,0.007908463016107077,0.47948065870266976,0.4843271331916193,44.16773953437805,"{""classifier__class_weight"": ""balanced_subsample"", ""classifier__max_depth"": 40, ""classifier__min_samples_leaf"": 2}",0.4507167924139787
random_forest,3,12,0.8919469646481855,0.4526275510709367,0.007138603441380282,0.4751502994690294,0.4772349168393246,49.96794767379761,"{""classifier__class_weight"": ""balanced_subsample"", ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 5}",0.43931941357724874
random_forest,4,10,0.7799975475024303,0.44639124842392974,0.011418238095356732,0.4658640767283823,0.46396966522367533,32.25762038230896,"{""classifier__class_weight"": ""balanced_subsample"", ""classifier__max_depth"": 40, ""classifier__min_samples_leaf"": 5}",0.3336062990785006
random_forest,5,7,0.7478132037493298,0.4364188018992145,0.010730846247106646,0.45539212599893275,0.4520607327025078,25.496037912368774,"{""classifier__class_weight"": ""balanced_subsample"", ""classifier__max_depth"": 20, ""classifier__min_samples_leaf"": 2}",0.3113944018501153
random_forest,6,8,0.662387907934529,0.4296922503032177,0.008864852793322482,0.44468724608082744,0.4393213157888023,22.003438186645507,"{""classifier__class_weight"": ""balanced_subsample"", ""classifier__max_depth"": 20, ""classifier__min_samples_leaf"": 5}",0.23269565763131123
random_forest,7,5,0.9653424927697974,0.41392696352499014,0.003181893864201981,0.46834473833421447,0.5069615387310785,83.17832112312317,"{""classifier__class_weight"": null, ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 2}",0.5514155292448073
random_forest,8,6,0.7779782732969209,0.3801078457844761,0.003807477863789684,0.44142996443332905,0.48822362379889983,50.59127616882324,"{""classifier__class_weight"": null, ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 5}",0.39787042751244484
random_forest,9,3,0.7414360347243085,0.37685781221139963,0.0076516668994627895,0.43999023570813567,0.49216369615578737,40.977648639678954,"{""classifier__class_weight"": null, ""classifier__max_depth"": 40, ""classifier__min_samples_leaf"": 2}",0.3645782225129089
random_forest,10,4,0.584291685046368,0.36473536481530305,0.006189357866091893,0.42921903059626254,0.4835831411312809,30.835030126571656,"{""classifier__class_weight"": null, ""classifier__max_depth"": 40, ""classifier__min_samples_leaf"": 5}",0.21955632023106492
random_forest,11,1,0.5308731988841158,0.35575255417003404,0.005909738212313263,0.4215938488239808,0.4802119870488541,24.073037528991698,"{""classifier__class_weight"": null, ""classifier__max_depth"": 20, ""classifier__min_samples_leaf"": 2}",0.17512064471408173
random_forest,12,2,0.45880612065368565,0.3516359235255839,0.006621375022338304,0.4175698077905762,0.4765785384752402,21.24978914260864,"{""classifier__class_weight"": null, ""classifier__max_depth"": 20, ""classifier__min_samples_leaf"": 5}",0.10717019712810172
xgboost,1,10,0.7894506634574386,0.41718835108171837,0.003988207408522155,0.4638649382473945,0.49268833287911945,492.4640347480774,"{""classifier__max_depth"": 7, ""classifier__min_child_weight"": 1, ""classifier__reg_lambda"": 10.0}",0.3722623123757203
xgboost,2,9,0.8177771608008297,0.41674104847625115,0.0020193788427644572,0.4660256896871996,0.49789878792257947,391.92280249595643,"{""classifier__max_depth"": 7, ""classifier__min_child_weight"": 1, ""classifier__reg_lambda"": 1.0}",0.4010361123245786
xgboost,3,11,0.7597787954330268,0.41338230789850205,0.0065940804281987685,0.4619656373358807,0.4930398030870132,296.44893846511843,"{""classifier__max_depth"": 7, ""classifier__min_child_weight"": 5, ""classifier__reg_lambda"": 1.0}",0.3463964875345248
xgboost,4,12,0.7433944957910863,0.40854441578735656,0.005943932565480864,0.4556877042415796,0.48537854402923974,345.1559649944305,"{""classifier__max_depth"": 7, ""classifier__min_child_weight"": 5, ""classifier__reg_lambda"": 10.0}",0.33485008000372973
xgboost,5,7,0.6671516899955544,0.4008150480303529,0.005597626311178176,0.4530557106332255,0.48909940488860093,184.97171845436097,"{""classifier__max_depth"": 5, ""classifier__min_child_weight"": 5, ""classifier__reg_lambda"": 1.0}",0.2663366419652015
xgboost,6,5,0.7074599373342182,0.40066979099125416,0.005097000736863688,0.4534991418589276,0.49001830796506046,232.59301042556763,"{""classifier__max_depth"": 5, ""classifier__min_child_weight"": 1, ""classifier__reg_lambda"": 1.0}",0.30679014634296403
xgboost,7,6,0.6713190396052424,0.400188784923668,0.0039724624700977216,0.45069481297861813,0.4848521341455497,260.29142479896547,"{""classifier__max_depth"": 5, ""classifier__min_child_weight"": 1, ""classifier__reg_lambda"": 10.0}",0.2711302546815744
xgboost,8,8,0.6426504208345545,0.39473279364691893,0.004748687361982218,0.4459815233355152,0.4809997616778662,205.68049530982972,"{""classifier__max_depth"": 5, ""classifier__min_child_weight"": 5, ""classifier__reg_lambda"": 10.0}",0.24791762718763555
xgboost,9,2,0.513348429761343,0.37841624996907436,0.004932843749590967,0.43447662376133644,0.47666585466246475,114.77324800491333,"{""classifier__max_depth"": 3, ""classifier__min_child_weight"": 1, ""classifier__reg_lambda"": 10.0}",0.13493217979226863
xgboost,10,1,0.5465046613855862,0.37721947902928066,0.005205890554894324,0.43618537900418825,0.4814383854794018,107.45674204826355,"{""classifier__max_depth"": 3, ""classifier__min_child_weight"": 1, ""classifier__reg_lambda"": 1.0}",0.16928518235630552
xgboost,11,3,0.5345629237408865,0.3767739124886815,0.005738252444065558,0.43548733305069237,0.48025666084848107,96.20454292297363,"{""classifier__max_depth"": 3, ""classifier__min_child_weight"": 5, ""classifier__reg_lambda"": 1.0}",0.15778901125220507
xgboost,12,4,0.50629571002277,0.37654117862635933,0.006879128763191889,0.4327943984909527,0.47535327025727697,100.19974145889282,"{""classifier__max_depth"": 3, ""classifier__min_child_weight"": 5, ""classifier__reg_lambda"": 10.0}",0.12975453139641063
