feature_set,features,model,model_family,priority,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
FS2,Text + type,complement_naive_bayes,probabilistic,low,0.337572680719834,0.006332624849902354,0.3299335982184558,0.009956719312467834,0.3336525306488521,0.006857039759684957
FS2,Text + type,complement_naive_bayes,probabilistic,medium,0.4893573150245823,0.009521524137744729,0.4287708712183832,0.014897841897229072,0.45686659602433916,0.007955472391165308
FS2,Text + type,knn_cosine,instance_based,high,0.5200180049801721,0.03097483368891016,0.5514109930435753,0.10467015811676013,0.5286991904316107,0.03362457626630055
FS2,Text + type,knn_cosine,instance_based,low,0.47603541267371385,0.08254354376671356,0.3222505759107964,0.07832250357211007,0.372209045264012,0.030870439219712817
FS2,Text + type,knn_cosine,instance_based,medium,0.526284370059366,0.0290018894357814,0.5611079753442128,0.08742322137404963,0.5386000963490494,0.026701801325602216
FS2,Text + type,lightgbm,gradient_boosting,high,0.5527913503024893,0.011142383329056796,0.5850883355025814,0.01622067435252542,0.5683761805727527,0.010721094520067507
FS2,Text + type,lightgbm,gradient_boosting,low,0.45126428872855096,0.027371387672924657,0.24389083303437867,0.015917362037400688,0.31660273174809417,0.019742750204242765
FS2,Text + type,lightgbm,gradient_boosting,medium,0.5002755103581205,0.008570221805366084,0.5892624518810665,0.016944400265545324,0.5410294427417488,0.009328245784131968
FS2,Text + type,linear_svm,linear,high,0.5438753300568802,0.008140592943949315,0.557100522562165,0.01788014003006971,0.5503254724543173,0.011393033860256146
FS2,Text + type,linear_svm,linear,low,0.37427058852824874,0.016018503420375082,0.33970794948681327,0.01387637276768131,0.35613348052503946,0.014595802005775163
FS2,Text + type,linear_svm,linear,medium,0.4978655608243804,0.014653525729008398,0.5095087735871336,0.014936656044314624,0.5035746232172785,0.01383366091103488
FS2,Text + type,logistic_regression,linear_baseline,high,0.5466046011591005,0.009511136004555172,0.5399710237744165,0.01837680684711547,0.5431622267160067,0.011968186243700583
FS2,Text + type,logistic_regression,linear_baseline,low,0.369851064990464,0.012559947579714686,0.3830491571734456,0.013751671197823856,0.37632316179977493,0.01294910181736066
FS2,Text + type,logistic_regression,linear_baseline,medium,0.5014442751379423,0.015649734942190494,0.4979905769548686,0.014378230171933945,0.49963522361539425,0.01340136753858645
FS2,Text + type,random_forest,bagging_ensemble,high,0.5645558344728345,0.005525139216979462,0.5575457563051802,0.024144236656201842,0.5608298046000806,0.01334993533824594
FS2,Text + type,random_forest,bagging_ensemble,low,0.4587701890839674,0.025615707703389223,0.22540189661357682,0.015900298102119972,0.30222725528681293,0.019411051424846146
FS2,Text + type,random_forest,bagging_ensemble,medium,0.4892063466091189,0.007326722092734117,0.6221872564532508,0.014392819496517398,0.547609080000535,0.004273718780639251
FS2,Text + type,xgboost,gradient_boosting,high,0.5368649782458729,0.012951731855350415,0.5441092223229733,0.02109388547274318,0.5403752575678231,0.015777278887452267
