feature_set,features,model,model_family,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,mean_accuracy,std_accuracy,mean_macro_precision,mean_macro_recall,feature_rank,delta_vs_fs1,delta_vs_previous,best_params
FS5,Text + type + language + queue + sentiment,complement_naive_bayes,probabilistic,0.4780055589560533,0.006000047607929761,0.4962226779821804,0.005416057021198772,0.49986860377282394,0.005600135135400809,0.47869658960879774,0.4811294314276172,4,0.0295398245761484,-0.0023299045296066856,"{""classifier__alpha"": 0.05}"
FS2,Text + type,lightgbm,gradient_boosting,0.4753361183541986,0.009124022676002212,0.5054772160557688,0.00844347839732329,0.5164620122675069,0.008287146571473314,0.5014437164630536,0.4727472068060089,1,0.004315880282885487,0.004315880282885487,"{""classifier__min_child_samples"": 10, ""classifier__num_leaves"": 63, ""classifier__reg_lambda"": 0.0}"
FS3,Text + type + language,lightgbm,gradient_boosting,0.4734850232878662,0.007949046157099867,0.5041117363232415,0.007756096032638517,0.515455352133499,0.007558119566218823,0.5001457945528525,0.4711717150889349,2,0.002464785216553078,-0.0018510950663324088,"{""classifier__min_child_samples"": 10, ""classifier__num_leaves"": 63, ""classifier__reg_lambda"": 0.0}"
FS3,Text + type + language,logistic_regression,linear_baseline,0.4731255295404127,0.011395995805668482,0.4914566582833541,0.011434355956612689,0.4908961593969693,0.011511794976013578,0.47267784832059173,0.4737883238340624,2,0.00014762817458829902,8.532549668743838e-05,"{""classifier__C"": 10.0, ""classifier__class_weight"": ""balanced""}"
FS2,Text + type,logistic_regression,linear_baseline,0.47304020404372527,0.011719576659889187,0.4912453577897308,0.011726628254467235,0.49072100885811193,0.011774287147479438,0.4726333137625023,0.47367025263424356,1,6.230267790086064e-05,6.230267790086064e-05,"{""classifier__C"": 10.0, ""classifier__class_weight"": ""balanced""}"
FS1,Text,logistic_regression,linear_baseline,0.4729779013658244,0.009495926268479787,0.49146094222513337,0.009920011275288425,0.4909836100340385,0.010075890426134847,0.4726700002271338,0.47354093342125936,0,0.0,,"{""classifier__C"": 10.0, ""classifier__class_weight"": ""balanced""}"
FS1,Text,lightgbm,gradient_boosting,0.4710202380713131,0.006940925428762642,0.5019466906567343,0.006932168073764692,0.5132664114316963,0.006661740947264655,0.49654347745907634,0.46894122401076943,0,0.0,,"{""classifier__min_child_samples"": 10, ""classifier__num_leaves"": 63, ""classifier__reg_lambda"": 0.0}"
FS3,Text + type + language,linear_svm,linear,0.4706792329087709,0.011508886580354271,0.49209468856149,0.011579499105152756,0.4937415073112891,0.011744912419813814,0.4727095899373892,0.4694165237804581,2,9.778298029644583e-05,0.0006680408432258034,"{""classifier__C"": 1.0, ""classifier__class_weight"": ""balanced""}"
FS1,Text,linear_svm,linear,0.47058144992847445,0.009266464581923551,0.49216579587383225,0.009363200228379834,0.4936975423630557,0.009502994005999238,0.472509693854231,0.46936122247750445,0,0.0,,"{""classifier__C"": 1.0, ""classifier__class_weight"": ""balanced""}"
FS2,Text + type,random_forest,bagging_ensemble,0.4702220466291429,0.0052688908681389115,0.5022153792813542,0.004493590829953804,0.5151479044196976,0.004180443417694265,0.5041774567219737,0.46837830312400264,1,0.0063952523912236825,0.0063952523912236825,"{""classifier__class_weight"": ""balanced_subsample"", ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 2}"
