model,model_family,candidate_id,candidate_number,parameters,representation,search_budget,mean_macro_f1,fold_sd_macro_f1,mean_weighted_f1,mean_accuracy,mean_macro_precision,mean_macro_recall,mean_fit_seconds
dummy_majority,naive baseline,dummy_majority__candidate_01,1,"{""strategy"": ""most_frequent""}",shared TF-IDF text-only,1,0.1914567258091977,1.4933057156940599e-05,0.23140726957635746,0.4028887235019753,0.13429624116732508,0.3333333333333333,0.38601529999959894
knn_cosine,instance based,knn_cosine__candidate_01,1,"{""n_neighbors"": 7, ""weights"": ""distance""}",shared TF-IDF text-only,2,0.39461234830572833,0.0010906327970534035,0.4248461404836131,0.4346208848231805,0.4061540632376557,0.3951888321313467,0.3790146499995899
knn_cosine,instance based,knn_cosine__candidate_02,2,"{""n_neighbors"": 15, ""weights"": ""distance""}",shared TF-IDF text-only,2,0.3791748883820556,0.005145264388446452,0.4157095318641458,0.433307232213284,0.40425432550315865,0.3848869789401754,0.4387573499998325
lightgbm,gradient boosted trees,lightgbm__candidate_02,2,"{""learning_rate"": 0.03, ""n_estimators"": 350, ""num_leaves"": 63}",shared TF-IDF text-only,2,0.3955989717479162,0.01033095124820127,0.42550796495948573,0.43319729621131464,0.4024499472072067,0.39586670221624476,7.4141618499998
lightgbm,gradient boosted trees,lightgbm__candidate_01,1,"{""learning_rate"": 0.05, ""n_estimators"": 250, ""num_leaves"": 31}",shared TF-IDF text-only,2,0.3911066908790553,0.012619313197953286,0.4202476345077988,0.4282729487512889,0.39931350556243095,0.39124588344324396,3.038597949999712
linear_svm,linear,linear_svm__candidate_02,2,"{""C"": 1.0}",shared TF-IDF text-only,2,0.3997543120623877,0.003146895984585729,0.43447884290570493,0.44983065401744127,0.4239460428878645,0.4029684135910234,0.45204159999957483
linear_svm,linear,linear_svm__candidate_01,1,"{""C"": 0.3}",shared TF-IDF text-only,2,0.38117735576065304,0.003400602860205354,0.4246504001500202,0.45081473808124684,0.42945312681628267,0.3938564539942069,0.42961149999973713
logistic_regression,linear,logistic_regression__candidate_02,2,"{""C"": 1.0}",shared TF-IDF text-only,2,0.35885777210068937,0.008948385384371899,0.41153746328697394,0.4489542310873439,0.4245354642418595,0.38420183240889905,0.4679258500009382
logistic_regression,linear,logistic_regression__candidate_01,1,"{""C"": 0.3}",shared TF-IDF text-only,2,0.3317997844285535,0.006259052410408084,0.39477960364822273,0.4459997040276662,0.38257906645573064,0.37424374726472265,0.4648118000004615
random_forest,bagging ensemble,random_forest__candidate_02,2,"{""max_depth"": null, ""max_samples"": 0.75, ""min_samples_leaf"": 3, ""n_estimators"": 350}",shared TF-IDF text-only,2,0.34791177551671637,0.01105551821210643,0.4033545956054971,0.4445771690389951,0.4216964818284651,0.3780562855414912,2.367858399999932
random_forest,bagging ensemble,random_forest__candidate_01,1,"{""max_depth"": 30, ""max_samples"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 250}",shared TF-IDF text-only,2,0.3221119608503198,0.006199414556560895,0.3838065408563031,0.4354953441827787,0.2928476215155391,0.36492808213723105,0.9447155999996539
xgboost,gradient boosted trees,xgboost__candidate_02,2,"{""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 350, ""reg_lambda"": 10.0}",shared TF-IDF text-only,2,0.35566149446018214,0.0028477385466483263,0.403983869352056,0.43407292892401605,0.3856757882609988,0.374333948302787,10.079147399999783
xgboost,gradient boosted trees,xgboost__candidate_01,1,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_lambda"": 5.0}",shared TF-IDF text-only,2,0.3379968527415588,0.007086463710004015,0.392386542821766,0.4327595876118816,0.38004425109158274,0.3675389584772928,4.8772611499998675
