model,model_family,candidate_id,candidate_number,parameters,representation,fold,macro_f1,weighted_f1,accuracy,macro_precision,macro_recall,fit_seconds,predict_seconds
linear_svm,linear,linear_svm__candidate_01,1,"{""C"": 0.3}",shared TF-IDF text-only,0,0.3777767529004477,0.42076898653563327,0.446706062595754,0.42618213451546777,0.3902882369203658,0.42513549999966926,0.28034090000073775
linear_svm,linear,linear_svm__candidate_01,1,"{""C"": 0.3}",shared TF-IDF text-only,1,0.3845779586208584,0.4285318137644071,0.4549234135667396,0.4327241191170976,0.39742467106804796,0.434087499999805,0.2762635999988561
linear_svm,linear,linear_svm__candidate_02,2,"{""C"": 1.0}",shared TF-IDF text-only,0,0.40290120804697344,0.437117135081416,0.4521777194134384,0.4272626777305908,0.40573436660683804,0.45074409999870113,0.2792040000003908
linear_svm,linear,linear_svm__candidate_02,2,"{""C"": 1.0}",shared TF-IDF text-only,1,0.396607416077802,0.43184055072999383,0.4474835886214442,0.4206294080451383,0.4002024605752088,0.4533391000004485,0.26212479999958305
decision_tree,single tree,decision_tree__candidate_01,1,"{""max_depth"": 20, ""min_samples_leaf"": 5}",shared TF-IDF text-only,0,0.32038770603201233,0.3544277775311071,0.4068724009630116,0.37039743028311395,0.3561468484934558,0.5590221999991627,0.2506639000002906
decision_tree,single tree,decision_tree__candidate_01,1,"{""max_depth"": 20, ""min_samples_leaf"": 5}",shared TF-IDF text-only,1,0.3193083167334363,0.35688226515134014,0.40919037199124725,0.37528654943429746,0.35776979143281645,0.6250462000007246,0.2748043999999936
decision_tree,single tree,decision_tree__candidate_02,2,"{""max_depth"": 40, ""min_samples_leaf"": 3}",shared TF-IDF text-only,0,0.3414690834715762,0.3710985188507113,0.4005252790544977,0.3690710791826466,0.3588950383203246,0.8830772999990586,0.2798781000001327
decision_tree,single tree,decision_tree__candidate_02,2,"{""max_depth"": 40, ""min_samples_leaf"": 3}",shared TF-IDF text-only,1,0.35415361622041325,0.3842672256948594,0.4089715536105033,0.37669976218589585,0.3690178451836997,0.7270310000003519,0.24223390000042855
knn_cosine,instance based,knn_cosine__candidate_01,1,"{""n_neighbors"": 7, ""weights"": ""distance""}",shared TF-IDF text-only,0,0.39352171550867493,0.4246242769239885,0.4348872838695557,0.4050173247982671,0.3945296163214527,0.35309179999967455,0.4764388000003237
knn_cosine,instance based,knn_cosine__candidate_01,1,"{""n_neighbors"": 7, ""weights"": ""distance""}",shared TF-IDF text-only,1,0.39570298110278174,0.42506800404323763,0.43435448577680524,0.4072908016770443,0.39584804794124073,0.40493749999950523,0.4371742000002996
knn_cosine,instance based,knn_cosine__candidate_02,2,"{""n_neighbors"": 15, ""weights"": ""distance""}",shared TF-IDF text-only,0,0.3740296239936092,0.41079588437656567,0.42810242941562704,0.395317288197276,0.37999818758611476,0.4428143999994063,0.5838702000000922
knn_cosine,instance based,knn_cosine__candidate_02,2,"{""n_neighbors"": 15, ""weights"": ""distance""}",shared TF-IDF text-only,1,0.3843201527705021,0.4206231793517259,0.43851203501094094,0.4131913628090413,0.389775770294236,0.4347003000002587,0.46550440000100934
random_forest,bagging ensemble,random_forest__candidate_01,1,"{""max_depth"": 30, ""max_samples"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 250}",shared TF-IDF text-only,0,0.3159125462937589,0.37645066857540294,0.4274458305975049,0.2868235963735415,0.3581620096678068,0.9688096999998379,0.32172130000071775
random_forest,bagging ensemble,random_forest__candidate_01,1,"{""max_depth"": 30, ""max_samples"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 250}",shared TF-IDF text-only,1,0.3283113754068807,0.3911624131372033,0.4435448577680525,0.2988716466575367,0.3716941546066553,0.92062149999947,0.32911909999893396
random_forest,bagging ensemble,random_forest__candidate_02,2,"{""max_depth"": null, ""max_samples"": 0.75, ""min_samples_leaf"": 3, ""n_estimators"": 350}",shared TF-IDF text-only,0,0.33685625730460994,0.3927547928917903,0.43532501641497046,0.41615589458463204,0.3690281459793689,2.4168365000004997,0.5103341000012733
random_forest,bagging ensemble,random_forest__candidate_02,2,"{""max_depth"": null, ""max_samples"": 0.75, ""min_samples_leaf"": 3, ""n_estimators"": 350}",shared TF-IDF text-only,1,0.3589672937288228,0.41395439831920383,0.4538293216630197,0.42723706907229814,0.38708442510361346,2.318880299999364,0.4753906999994797
adaboost,boosting ensemble,adaboost__candidate_01,1,"{""base_depth"": 1, ""learning_rate"": 0.5, ""n_estimators"": 100}",shared TF-IDF text-only,0,0.2904510821246387,0.3469705571836415,0.41453272050776974,0.28183327638627775,0.3457286124460897,1.8794933999997738,0.3333311999995203
adaboost,boosting ensemble,adaboost__candidate_01,1,"{""base_depth"": 1, ""learning_rate"": 0.5, ""n_estimators"": 100}",shared TF-IDF text-only,1,0.27016060387104207,0.3237415015368305,0.43544857768052514,0.35168837942374515,0.36170661812975013,1.623262999999497,0.33363590000044496
adaboost,boosting ensemble,adaboost__candidate_02,2,"{""base_depth"": 2, ""learning_rate"": 0.2, ""n_estimators"": 200}",shared TF-IDF text-only,0,0.2896866475937806,0.346322129789176,0.4241628365068943,0.2925726368946762,0.3533272952626693,5.044927399998414,0.41981979999945906
adaboost,boosting ensemble,adaboost__candidate_02,2,"{""base_depth"": 2, ""learning_rate"": 0.2, ""n_estimators"": 200}",shared TF-IDF text-only,1,0.2891795581226584,0.3459633790844353,0.4389496717724289,0.32980241360129625,0.36517808571997995,5.165994299999511,0.410063799999989
