category,check,expected,observed,status,detail
explainability,H2 baseline,logistic_regression,logistic_regression,PASS,
explainability,H2 pairwise,True,True,PASS,
explainability,H2 family_mean_comparison,False,False,PASS,
explainability,H2 number_of_comparisons,6,6,PASS,
explainability,H2 supported,True,True,PASS,
explainability,H2 supporting alternatives,"{'complement_naive_bayes', 'random_forest'}","{'complement_naive_bayes', 'random_forest'}",PASS,
explainability,is_global_h2_case count,300,300,PASS,
explainability,is_local_case count,12,12,PASS,
explainability,XAI sample column: sentiment_negative,True,True,PASS,
explainability,XAI sample column: sentiment_neutral,True,True,PASS,
explainability,XAI sample column: sentiment_positive,True,True,PASS,
explainability,XAI sample column: pred_final_model,True,True,PASS,
explainability,compactness row: logistic_regression,1,1,PASS,
explainability,Top-10 concentration: logistic_regression,0.2657,0.2656860226992515,PASS,atol=0.0005
explainability,compactness row: linear_svm,1,1,PASS,
explainability,Top-10 concentration: linear_svm,0.274,0.2740285554109414,PASS,atol=0.0005
explainability,compactness row: complement_naive_bayes,1,1,PASS,
explainability,Top-10 concentration: complement_naive_bayes,0.1882,0.1881533894545545,PASS,atol=0.0005
explainability,compactness row: knn_cosine,1,1,PASS,
explainability,Top-10 concentration: knn_cosine,0.4238,0.4238417388292549,PASS,atol=0.0005
explainability,compactness row: random_forest,1,1,PASS,
explainability,Top-10 concentration: random_forest,0.1916,0.1915509626242293,PASS,atol=0.0005
explainability,compactness row: xgboost,1,1,PASS,
explainability,Top-10 concentration: xgboost,0.4286,0.4286487273938967,PASS,atol=0.0005
explainability,compactness row: lightgbm,1,1,PASS,
explainability,Top-10 concentration: lightgbm,0.4388,0.4388326391069309,PASS,atol=0.0005
H2,pairwise rows,6,6,PASS,
H2,row: linear_svm,1,1,PASS,
H2,delta: linear_svm,-0.0083,-0.0083425327116898,PASS,atol=0.0005
H2,CI lower: linear_svm,-0.0106,-0.0106326755369082,PASS,atol=0.0005
H2,CI upper: linear_svm,-0.0062,-0.0061724724597297,PASS,atol=0.0005
H2,Holm p: linear_svm,1.0,1.0,PASS,atol=0.0007
H2,significant: linear_svm,False,False,PASS,
H2,row: complement_naive_bayes,1,1,PASS,
H2,delta: complement_naive_bayes,0.0775,0.077532633244697,PASS,atol=0.0005
H2,CI lower: complement_naive_bayes,0.0727,0.0726789880543947,PASS,atol=0.0005
H2,CI upper: complement_naive_bayes,0.0823,0.0822887418791651,PASS,atol=0.0005
H2,Holm p: complement_naive_bayes,0.0006,0.0005999400059994,PASS,atol=0.0007
H2,significant: complement_naive_bayes,True,True,PASS,
